iter	Passed	Remaining
0	58	46456
1	59	23632
2	59	15867
3	60	11997
4	60	9669
5	61	8119
6	61	7010
7	62	6176
8	62	5523
9	63	5003
10	63	4576
11	64	4225
12	64	3925
13	65	3672
14	65	3452
15	66	3255
16	67	3112
17	68	2958
18	68	2819
19	69	2693
20	69	2578
21	69	2474
22	70	2381
23	71	2295
24	71	2218
25	72	2143
26	72	2076
27	72	2012
28	73	1953
29	73	1898
30	74	1844
31	74	1795
32	75	1748
33	75	1704
34	76	1663
35	76	1625
36	76	1587
37	77	1553
38	78	1523
39	78	1490
40	78	1459
41	79	1430
42	79	1403
43	80	1376
44	80	1351
45	81	1327
46	81	1306
47	82	1284
48	82	1264
49	83	1246
50	83	1228
51	84	1208
52	84	1190
53	84	1173
54	85	1156
55	85	1140
56	86	1124
57	87	1117
58	87	1103
59	88	1089
60	88	1074
61	89	1060
62	89	1048
63	90	1035
64	90	1023
65	90	1011
66	91	998
67	91	987
68	92	977
69	92	967
70	93	956
71	93	947
72	94	936
73	94	927
74	94	917
75	95	908
76	95	899
77	96	890
78	96	882
79	97	873
80	97	865
81	97	857
82	98	853
83	99	845
84	99	838
85	100	831
86	100	823
87	101	817
88	101	810
89	101	804
90	102	797
91	102	791
92	103	785
93	103	778
94	104	772
95	104	767
96	105	761
97	105	755
98	106	752
99	106	747
100	107	742
101	107	736
102	108	731
103	108	725
104	108	719
105	109	714
106	109	709
107	109	703
108	110	698
109	110	693
110	110	688
111	111	683
112	111	678
113	111	673
114	112	668
115	112	664
116	113	660
117	113	655
118	113	652
119	114	648
120	114	644
121	115	640
122	115	637
123	116	633
124	116	629
125	116	625
126	117	621
127	117	617
128	118	614
129	118	610
130	118	606
131	119	602
132	119	599
133	119	595
134	120	591
135	120	588
136	120	584
137	121	581
138	121	578
139	121	574
140	122	571
141	122	568
142	123	565
143	123	562
144	123	559
145	124	555
146	124	552
147	124	549
148	125	546
149	125	543
150	125	540
151	126	537
152	126	535
153	126	532
154	127	529
155	127	526
156	127	523
157	128	521
158	128	518
159	128	515
160	129	512
161	129	510
162	129	507
163	130	505
164	130	502
165	130	500
166	131	497
167	131	495
168	131	492
169	132	490
170	132	488
171	133	486
172	133	483
173	133	481
174	134	479
175	134	477
176	134	474
177	135	472
178	135	470
179	136	468
180	136	466
181	136	465
182	137	463
183	138	462
184	138	460
185	138	458
186	139	456
187	139	454
188	140	453
189	140	451
190	141	449
191	141	448
192	141	446
193	142	444
194	142	443
195	143	441
196	143	439
197	144	438
198	144	436
199	145	435
200	145	433
201	145	431
202	146	430
203	146	428
204	147	428
205	148	427
206	148	425
207	148	423
208	149	422
209	149	420
210	150	419
211	150	417
212	151	416
213	151	414
214	151	413
215	152	411
216	152	410
217	153	409
218	153	407
219	154	406
220	154	405
221	155	403
222	155	402
223	155	401
224	156	399
225	156	398
226	157	396
227	157	395
228	158	394
229	158	392
230	158	391
231	159	390
232	159	388
233	160	389
234	161	387
235	161	386
236	162	385
237	162	383
238	163	382
239	163	381
240	163	380
241	164	379
242	164	377
243	165	376
244	165	375
245	166	374
246	166	372
247	167	371
248	167	370
249	167	369
250	168	368
251	168	366
252	169	365
253	169	364
254	169	363
255	170	362
256	170	360
257	171	359
258	171	358
259	172	357
260	172	356
261	173	355
262	173	354
263	173	353
264	174	352
265	174	350
266	175	349
267	175	348
268	176	347
269	176	346
270	176	345
271	177	344
272	177	342
273	178	341
274	178	340
275	178	339
276	179	338
277	179	337
278	180	336
279	180	335
280	181	334
281	181	333
282	181	332
283	182	331
284	182	330
285	183	329
286	183	328
287	184	327
288	184	326
289	185	325
290	185	324
291	186	323
292	186	322
293	186	321
294	187	320
295	187	319
296	188	318
297	188	317
298	189	317
299	189	316
300	190	315
301	190	314
302	191	313
303	191	312
304	192	311
305	192	310
306	192	309
307	193	308
308	193	308
309	194	307
310	194	306
